"digits","algorithm","n_neighbors","metric","sizes","digit","precision","recall","f1_score","support"
6,"ball_tree",1,"euclidean",5,6,"     0.90","    0.89","     0.89",106
7,"ball_tree",1,"euclidean",5,7,"     0.61","    0.82","     0.70",97
8,"ball_tree",1,"euclidean",5,8,"     0.75","    0.59","     0.66",87
9,"ball_tree",1,"euclidean",5,9,"     0.77","    0.66","     0.71",112
0,"kd_tree",1,"euclidean",5,0,"     0.90","    0.88","     0.89",97
1,"kd_tree",1,"euclidean",5,1,"     0.74","    0.97","     0.84",95
2,"kd_tree",1,"euclidean",5,2,"     0.91","    0.66","     0.76",111
3,"kd_tree",1,"euclidean",5,3,"     0.79","    0.87","     0.83",103
4,"kd_tree",1,"euclidean",5,4,"     0.85","    0.81","     0.83",95
5,"kd_tree",1,"euclidean",5,5,"     0.78","    0.80","     0.79",97
6,"kd_tree",1,"euclidean",5,6,"     0.88","    0.89","     0.88",106
7,"kd_tree",1,"euclidean",5,7,"     0.62","    0.78","     0.69",97
8,"kd_tree",1,"euclidean",5,8,"     0.76","    0.60","     0.67",87
9,"kd_tree",1,"euclidean",5,9,"     0.76","    0.67","     0.71",112
0,"brute",1,"euclidean",5,0,"     0.90","    0.88","     0.89",97
1,"brute",1,"euclidean",5,1,"     0.76","    0.96","     0.85",95
2,"brute",1,"euclidean",5,2,"     0.94","    0.65","     0.77",111
3,"brute",1,"euclidean",5,3,"     0.78","    0.90","     0.83",103
4,"brute",1,"euclidean",5,4,"     0.91","    0.82","     0.86",95
5,"brute",1,"euclidean",5,5,"     0.81","    0.82","     0.82",97
6,"brute",1,"euclidean",5,6,"     0.89","    0.87","     0.88",106
7,"brute",1,"euclidean",5,7,"     0.62","    0.80","     0.70",97
8,"brute",1,"euclidean",5,8,"     0.78","    0.66","     0.71",87
9,"brute",1,"euclidean",5,9,"     0.74","    0.69","     0.71",112
0,"auto",5,"euclidean",5,0,"     0.88","    0.94","     0.91",97
1,"auto",5,"euclidean",5,1,"     0.68","    0.96","     0.79",95
2,"auto",5,"euclidean",5,2,"     0.97","    0.68","     0.80",111
3,"auto",5,"euclidean",5,3,"     0.79","    0.90","     0.85",103
4,"auto",5,"euclidean",5,4,"     0.84","    0.84","     0.84",95
5,"auto",5,"euclidean",5,5,"     0.74","    0.80","     0.77",97
6,"auto",5,"euclidean",5,6,"     0.94","    0.92","     0.93",106
7,"auto",5,"euclidean",5,7,"     0.60","    0.82","     0.69",97
8,"auto",5,"euclidean",5,8,"     0.82","    0.54","     0.65",87
9,"auto",5,"euclidean",5,9,"     0.83","    0.55","     0.66",112
