"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"1127";6;"auto";20;"manhattan";10;6;0,95;0,9;0,92;106
"1131";0;"ball_tree";20;"manhattan";10;0;0,96;0,98;0,97;97
"1137";6;"ball_tree";20;"manhattan";10;6;0,95;0,89;0,92;106
"1141";0;"kd_tree";20;"manhattan";10;0;0,96;0,98;0,97;97
"1147";6;"kd_tree";20;"manhattan";10;6;0,95;0,9;0,92;106
"1151";0;"brute";20;"manhattan";10;0;0,97;0,98;0,97;97
"1156";5;"brute";20;"manhattan";10;5;0,93;0,89;0,91;97
"1157";6;"brute";20;"manhattan";10;6;0,94;0,9;0,92;106
"1161";0;"auto";50;"manhattan";10;0;0,9;0,96;0,93;97
"1167";6;"auto";50;"manhattan";10;6;0,94;0,88;0,91;106
"1171";0;"ball_tree";50;"manhattan";10;0;0,91;0,97;0,94;97
"1181";0;"kd_tree";50;"manhattan";10;0;0,9;0,96;0,93;97
"1187";6;"kd_tree";50;"manhattan";10;6;0,94;0,88;0,91;106
"1191";0;"brute";50;"manhattan";10;0;0,9;0,96;0,93;97
"1401";0;"auto";1;"euclidean";20;0;0,96;0,97;0,96;97
"1402";1;"auto";1;"euclidean";20;1;0,79;0,98;0,87;95
"1403";2;"auto";1;"euclidean";20;2;0,99;0,91;0,95;111
"1404";3;"auto";1;"euclidean";20;3;0,93;0,94;0,94;103
"1405";4;"auto";1;"euclidean";20;4;0,95;0,87;0,91;95
"1406";5;"auto";1;"euclidean";20;5;0,91;0,93;0,92;97
"1407";6;"auto";1;"euclidean";20;6;0,98;0,92;0,95;106
"1408";7;"auto";1;"euclidean";20;7;0,84;0,9;0,87;97
"1409";8;"auto";1;"euclidean";20;8;0,96;0,86;0,91;87
"1410";9;"auto";1;"euclidean";20;9;0,92;0,9;0,91;112
"1411";0;"ball_tree";1;"euclidean";20;0;0,96;0,97;0,96;97
"1412";1;"ball_tree";1;"euclidean";20;1;0,79;0,98;0,87;95
"1413";2;"ball_tree";1;"euclidean";20;2;0,99;0,91;0,95;111
"1414";3;"ball_tree";1;"euclidean";20;3;0,93;0,94;0,94;103
"1415";4;"ball_tree";1;"euclidean";20;4;0,95;0,87;0,91;95
"1416";5;"ball_tree";1;"euclidean";20;5;0,91;0,93;0,92;97
"1417";6;"ball_tree";1;"euclidean";20;6;0,98;0,92;0,95;106
"1418";7;"ball_tree";1;"euclidean";20;7;0,84;0,9;0,87;97
"1419";8;"ball_tree";1;"euclidean";20;8;0,96;0,86;0,91;87
"1420";9;"ball_tree";1;"euclidean";20;9;0,92;0,9;0,91;112
"1421";0;"kd_tree";1;"euclidean";20;0;0,96;0,97;0,96;97
"1422";1;"kd_tree";1;"euclidean";20;1;0,79;0,98;0,87;95
"1423";2;"kd_tree";1;"euclidean";20;2;0,99;0,91;0,95;111
